Period,MaxTemperature,MinTemperature,Humidity,Pressure,Precipitation,WindSpeed
Week 2059 (1989-06-11 - 1989-06-17),36.6,22.3,36.3,998.5,0.4,18.8
Week 2060 (1989-06-18 - 1989-06-24),36.3,21.6,35.4,1001.4,0.2,16.2
Week 2061 (1989-06-25 - 1989-07-01),38.3,26.1,37.9,997.3,1.2,12.2
Week 2062 (1989-07-02 - 1989-07-08),35.4,23,41.7,1000.9,3.6,15.6
Week 2063 (1989-07-09 - 1989-07-15),35.7,26.7,57.9,998.7,24.5,18
Week 2064 (1989-07-16 - 1989-07-22),35,24,58.9,999.8,0.4,12.9
Week 2065 (1989-07-23 - 1989-07-29),34,25.1,66.6,998.1,32.3,17.8
Week 2066 (1989-07-30 - 1989-08-05),29.7,22.2,78.1,999.7,183.7,12.1
Week 2067 (1989-08-06 - 1989-08-12),33.1,23.3,68,1000.8,29.8,10.3
Week 2068 (1989-08-13 - 1989-08-19),31.5,23.4,78.4,1002.1,19.7,8.6
Week 2069 (1989-08-20 - 1989-08-26),30.9,22.9,81.1,1002.4,31.8,10.4
Week 2070 (1989-08-27 - 1989-09-02),31.1,19.6,69.6,1002.7,10.6,8.9
Week 2071 (1989-09-03 - 1989-09-09),33.6,20.7,59.7,1001.5,0,10.6
Week 2072 (1989-09-10 - 1989-09-16),33.6,22.9,57.6,1003.4,3.8,9.4
Week 2073 (1989-09-17 - 1989-09-23),31.2,22.7,68,1006.3,51.8,12.3
Week 2074 (1989-09-24 - 1989-09-30),29.9,16.4,62,1008.1,0.3,11.3
Week 2075 (1989-10-01 - 1989-10-07),31.9,16.9,50.4,1008,0,8
Week 2076 (1989-10-08 - 1989-10-14),28.3,16.8,56.9,1009.6,48.9,17.3
Week 2077 (1989-10-15 - 1989-10-21),27.9,12,52.3,1011.5,0,8.9
Week 2078 (1989-10-22 - 1989-10-28),27.8,13,50.9,1014.1,0,12.6
Week 2079 (1989-10-29 - 1989-11-04),24.4,12.1,56,1014.9,35.2,15.1
Week 2080 (1989-11-05 - 1989-11-11),22.6,8.5,59.9,1016.6,0.2,9.4
Week 2081 (1989-11-12 - 1989-11-18),22.9,9.4,54.6,1016,3.1,11.5
Week 2082 (1989-11-19 - 1989-11-25),21.2,8.8,65.3,1018.6,3.7,10.9
Week 2083 (1989-11-26 - 1989-12-02),20.6,5.5,61.1,1022.3,0,8.1
Week 2084 (1989-12-03 - 1989-12-09),19.5,7,63.3,1020.1,10,9.4
Week 2085 (1989-12-10 - 1989-12-16),18,6.3,71,1020.4,2.3,11.1
Week 2086 (1989-12-17 - 1989-12-23),15.8,7.8,78.6,1017.5,44.8,10.6
Week 2087 (1989-12-24 - 1989-12-30),14.3,3.9,74.4,1018,20.9,8
Week 2088 (1989-12-31 - 1990-01-06),14.6,4.5,74.3,1019.7,11.5,10.7
Week 2089 (1990-01-07 - 1990-01-13),17.1,4.5,70.7,1018.9,0.2,9.9
Week 2090 (1990-01-14 - 1990-01-20),17.5,6.8,66,1017.2,2.4,12
Week 2091 (1990-01-21 - 1990-01-27),19,7,74.7,1015.3,60.6,10.5
Week 2092 (1990-01-28 - 1990-02-03),15.4,3.6,68.3,1017.9,3.7,12.5
Week 2093 (1990-02-04 - 1990-02-10),17,6.9,76.4,1018.6,61.3,11
Week 2094 (1990-02-11 - 1990-02-17),15.9,5.3,74.4,1016.2,20.8,13.7
Week 2095 (1990-02-18 - 1990-02-24),18,6.6,71,1012.2,32.5,11.8
Week 2096 (1990-02-25 - 1990-03-03),15.2,5.3,77.6,1012.4,45.6,10
Week 2097 (1990-03-04 - 1990-03-10),20.2,5.1,64.3,1014.6,15.4,15
Week 2098 (1990-03-11 - 1990-03-17),22.5,10.1,73.7,1015.7,29.6,13
Week 2099 (1990-03-18 - 1990-03-24),18.1,10.1,77.3,1011.2,203.5,12.3
Week 2100 (1990-03-25 - 1990-03-31),18.8,8.4,72.7,1013.6,19.2,9.9
Week 2101 (1990-04-01 - 1990-04-07),22,9.5,65.9,1011.1,45.3,14.1
Week 2102 (1990-04-08 - 1990-04-14),24,11.8,67.4,1009.1,7.3,11.8
Week 2103 (1990-04-15 - 1990-04-21),26.8,14.4,60.6,1006.8,8.3,13.7
Week 2104 (1990-04-22 - 1990-04-28),30.5,15.7,51.6,1007.5,2.2,13
Week 2105 (1990-04-29 - 1990-05-05),30,16.9,56.3,1006.4,2.9,11.1
Week 2106 (1990-05-06 - 1990-05-12),33.2,20.1,57.4,1004.9,1.9,11.3
Week 2107 (1990-05-13 - 1990-05-19),36.1,22.8,52.4,999.1,1.4,23.1
Week 2108 (1990-05-20 - 1990-05-26),37.2,19.8,33.6,1000.7,0.9,13.4
Week 2109 (1990-05-27 - 1990-06-02),36.9,21.3,35.9,999.4,2.5,18.1
Week 2110 (1990-06-03 - 1990-06-09),36.7,22.7,35.1,999.6,3.2,14.3
Week 2111 (1990-06-10 - 1990-06-16),36.2,22.1,41.7,999.8,2,13.8
Week 2112 (1990-06-17 - 1990-06-23),39.1,27.5,41.7,995,0.6,13.9
Week 2113 (1990-06-24 - 1990-06-30),34.7,25.9,69.4,995.6,46.3,16.9
Week 2114 (1990-07-01 - 1990-07-07),31.2,24.4,80.6,998.2,74.3,15.2
Week 2115 (1990-07-08 - 1990-07-14),32.3,23.5,75.4,996.8,20.7,10.5
Week 2116 (1990-07-15 - 1990-07-21),31,23.7,79.6,997.8,59.7,10.8
Week 2117 (1990-07-22 - 1990-07-28),31.6,24,78.3,998.3,16.5,11.3
Week 2118 (1990-07-29 - 1990-08-04),31,24.3,82.1,1000.5,75.3,12.6
Week 2119 (1990-08-05 - 1990-08-11),29.6,23.4,86,1004,54.6,8.6
Week 2120 (1990-08-12 - 1990-08-18),30.2,22.9,80.9,1000.7,30.2,11.2
Week 2121 (1990-08-19 - 1990-08-25),30.1,23.4,84.1,1002.3,23.3,8.9
Week 2122 (1990-08-26 - 1990-09-01),30.3,23,83.1,1003.1,28.3,9.4
Week 2123 (1990-09-02 - 1990-09-08),30.3,22.7,81,1002.7,27,7.6
Week 2124 (1990-09-09 - 1990-09-15),30.6,22.3,81.3,1003.6,0.8,7.3
Week 2125 (1990-09-16 - 1990-09-22),29.4,21.8,81,1005.3,38.7,7.6
Week 2126 (1990-09-23 - 1990-09-29),27.4,19.8,83.3,1007.3,9.9,15.8
Week 2127 (1990-09-30 - 1990-10-06),28.3,16.2,74.6,1009,0,7.6
Week 2128 (1990-10-07 - 1990-10-13),28,15.2,67,1010.7,1.2,12.2
Week 2129 (1990-10-14 - 1990-10-20),24,13.2,68.3,1013.4,34.9,17.4
Week 2130 (1990-10-21 - 1990-10-27),24.2,8.7,65.4,1015.1,0,8.4
Week 2131 (1990-10-28 - 1990-11-03),23.2,11.3,67.9,1015.8,2.6,10.8
Week 2132 (1990-11-04 - 1990-11-10),24.4,9.1,65.9,1012,0,7.5
Week 2133 (1990-11-11 - 1990-11-17),23.8,8.7,66,1016.8,0,8.1
Week 2134 (1990-11-18 - 1990-11-24),20.2,8.4,65,1019.2,1.1,16.1
Week 2135 (1990-11-25 - 1990-12-01),20,4.4,57.6,1017,0,8.7
Week 2136 (1990-12-02 - 1990-12-08),19.2,4.3,64.7,1020.5,0,6.7
Week 2137 (1990-12-09 - 1990-12-15),16.6,6.2,73.6,1019.3,42.5,13.6
Week 2138 (1990-12-16 - 1990-12-22),15.8,4.3,68.7,1019.5,21.6,9.5
Week 2139 (1990-12-23 - 1990-12-29),13.6,6.3,81.7,1016.8,124.9,10.9
Week 2140 (1990-12-30 - 1991-01-05),12.2,0.5,68.6,1017.3,0.1,9.2
Week 2141 (1991-01-06 - 1991-01-12),14,2.9,70.9,1018.8,2.1,8.4
Week 2142 (1991-01-13 - 1991-01-19),14.2,0.3,62.7,1020.3,0,10.7
Week 2143 (1991-01-20 - 1991-01-26),15.4,2,67.7,1018.6,17.8,8.7
Week 2144 (1991-01-27 - 1991-02-02),17.6,5.5,75,1016.2,34.9,13
Week 2145 (1991-02-03 - 1991-02-09),15,5.7,76.1,1019,35,8.9
Week 2146 (1991-02-10 - 1991-02-16),13.5,5.5,77.6,1016.6,117.2,13.8
Week 2147 (1991-02-17 - 1991-02-23),18.8,3.1,58.4,1019,0,11.3
Week 2148 (1991-02-24 - 1991-03-02),16.5,6.5,75.1,1017.8,21.6,9.5
Week 2149 (1991-03-03 - 1991-03-09),17,7,76.6,1015.1,74.5,12.2
Week 2150 (1991-03-10 - 1991-03-16),21.3,8.2,68.9,1014.2,15.8,15.1
Week 2151 (1991-03-17 - 1991-03-23),20,11,76.7,1012.2,90.4,13.5
Week 2152 (1991-03-24 - 1991-03-30),25.1,10.1,64.9,1011.3,0,11.6
Week 2153 (1991-03-31 - 1991-04-06),24.2,13.8,72.4,1010.7,52.5,13.5
Week 2154 (1991-04-07 - 1991-04-13),20.2,12.8,79.9,1010.2,104.5,19
Week 2155 (1991-04-14 - 1991-04-20),22.8,9.5,66.7,1011.3,54.8,14.2
Week 2156 (1991-04-21 - 1991-04-27),27.3,13.9,63.6,1009.9,3.1,14
Week 2157 (1991-04-28 - 1991-05-04),29.4,14.9,55.3,1005.4,3.7,17.7
Week 2158 (1991-05-05 - 1991-05-11),28.4,17.2,61.4,1007.7,12.2,20
Week 2159 (1991-05-12 - 1991-05-18),32.1,19,51,1008.1,1.3,13
Week 2160 (1991-05-19 - 1991-05-25),29.8,19.2,63.1,1006.4,56.3,14.8
Week 2161 (1991-05-26 - 1991-06-01),32.9,18.5,50.3,1003.6,1.8,15.6
Week 2162 (1991-06-02 - 1991-06-08),36.9,21.9,46.4,1000.1,0.4,15.9
Week 2163 (1991-06-09 - 1991-06-15),33.4,23.2,64.9,998.7,52.4,18.1
Week 2164 (1991-06-16 - 1991-06-22),32.9,22.5,62,999.2,6.9,15.3
Week 2165 (1991-06-23 - 1991-06-29),37.2,20.6,38.3,998.6,0,11.1
Week 2166 (1991-06-30 - 1991-07-06),38,25.3,46.9,996.8,2.1,13.5
Week 2167 (1991-07-07 - 1991-07-13),34.4,24.7,61,998.1,111.1,12.6
Week 2168 (1991-07-14 - 1991-07-20),31.8,23.4,76.9,998.1,58.6,11
Week 2169 (1991-07-21 - 1991-07-27),31.2,23.9,82.3,998,16.5,10.5
Week 2170 (1991-07-28 - 1991-08-03),31.8,24.8,81.4,997.2,29.3,9.7
Week 2171 (1991-08-04 - 1991-08-10),29.3,23.1,84,1000.4,52.9,16.1
Week 2172 (1991-08-11 - 1991-08-17),31.6,22.3,78.3,999.7,28,9.5
Week 2173 (1991-08-18 - 1991-08-24),29.6,23,84.1,1001.9,28.4,9.1
Week 2174 (1991-08-25 - 1991-08-31),30,23.3,81.9,1002,23.7,8.1
Week 2175 (1991-09-01 - 1991-09-07),29.7,23.1,84.6,1004.1,24,8.9
Week 2176 (1991-09-08 - 1991-09-14),29.5,22.8,84.6,1006.1,14.9,7.9
Week 2177 (1991-09-15 - 1991-09-21),27.9,20,82,1007.6,15.7,11.8
Week 2178 (1991-09-22 - 1991-09-28),28,18.5,76,1007.8,51.3,13.8
Week 2179 (1991-09-29 - 1991-10-05),26,13.4,68.3,1010.6,3.4,14.6
Week 2180 (1991-10-06 - 1991-10-12),27.5,14.8,63.4,1009.2,0.4,10.5
Week 2181 (1991-10-13 - 1991-10-19),24.7,13.1,63.6,1013.8,3,13.9
Week 2182 (1991-10-20 - 1991-10-26),25.9,11.7,59.4,1013.5,0,9.2
Week 2183 (1991-10-27 - 1991-11-02),25.1,10,57.9,1013.4,0,8.4
Week 2184 (1991-11-03 - 1991-11-09),23.4,9.1,65,1014.9,0,7.2
Week 2185 (1991-11-10 - 1991-11-16),21.5,8.3,63.4,1019.9,0,8.9
Week 2186 (1991-11-17 - 1991-11-23),20.7,5.8,63.9,1019.2,0,10
Week 2187 (1991-11-24 - 1991-11-30),19.3,6.9,64.7,1017.5,3,10.2
Week 2188 (1991-12-01 - 1991-12-07),18.9,4.9,63.6,1019.8,0.4,11.5
Week 2189 (1991-12-08 - 1991-12-14),20.3,7.5,67.4,1021.4,0.2,7.2
Week 2190 (1991-12-15 - 1991-12-21),18.4,9.9,72.9,1016.8,27,9.2
Week 2191 (1991-12-22 - 1991-12-28),13.7,3.9,75.9,1014.6,2,7.7
Week 2192 (1991-12-29 - 1992-01-04),14.3,1.1,66.7,1021.4,0.2,10.2
Week 2193 (1992-01-05 - 1992-01-11),15.4,5.6,75.6,1017.8,19.6,8.8
Week 2194 (1992-01-12 - 1992-01-18),15.5,2.4,67.6,1020.3,0,8.3
Week 2195 (1992-01-19 - 1992-01-25),16.2,5.5,75.4,1020,26.4,9
Week 2196 (1992-01-26 - 1992-02-01),13.9,7.3,86.6,1017.9,153.3,10.1
Week 2197 (1992-02-02 - 1992-02-08),14.7,4,72.3,1016.4,25.8,9.4
Week 2198 (1992-02-09 - 1992-02-15),14.8,2.7,69.6,1015.3,43.9,12.2
Week 2199 (1992-02-16 - 1992-02-22),16,3.1,65.7,1014.5,2.4,10.2
Week 2200 (1992-02-23 - 1992-02-29),19.7,6,68,1015,33.5,16.3
Week 2201 (1992-03-01 - 1992-03-07),19.4,6,64.3,1016.1,3.3,11.6
Week 2202 (1992-03-08 - 1992-03-14),19.9,8.3,68.9,1015.2,64.6,12.8
Week 2203 (1992-03-15 - 1992-03-21),20.9,7.3,66.9,1013,9.7,10
Week 2204 (1992-03-22 - 1992-03-28),17.7,11.5,82.4,1013.4,183.3,15.9
Week 2205 (1992-03-29 - 1992-04-04),22.6,10.1,67,1013.5,10.7,16
Week 2206 (1992-04-05 - 1992-04-11),22.8,11.1,71.6,1011.2,29.4,12
Week 2207 (1992-04-12 - 1992-04-18),26.5,12.6,62.1,1011.8,1.8,11.4
Week 2208 (1992-04-19 - 1992-04-25),25.6,13.2,68.3,1011.5,28.6,18.1
Week 2209 (1992-04-26 - 1992-05-02),29.2,15.9,63.1,1008.6,11.3,13.5
Week 2210 (1992-05-03 - 1992-05-09),27.1,15.8,60.1,1008.6,17.9,11.1
Week 2211 (1992-05-10 - 1992-05-16),33,19.7,49.9,1006.8,2.4,13.2
Week 2212 (1992-05-17 - 1992-05-23),31.9,17.5,46.7,1003.4,3.5,14.3
Week 2213 (1992-05-24 - 1992-05-30),31.3,19,52.3,1006.1,23.8,11.4
Week 2214 (1992-05-31 - 1992-06-06),33.5,18.5,52.1,1005.4,2.4,13
Week 2215 (1992-06-07 - 1992-06-13),35.4,20.7,45.3,1001.2,2.2,12.2
Week 2216 (1992-06-14 - 1992-06-20),38.2,22.4,36.1,998.3,0.4,15.5
Week 2217 (1992-06-21 - 1992-06-27),35.7,23.7,49.9,994.9,9.3,15.8
Week 2218 (1992-06-28 - 1992-07-04),33.1,23.2,61.4,999.6,10.3,17.7
Week 2219 (1992-07-05 - 1992-07-11),34.7,24.7,61.9,999.9,30.1,12.6
Week 2220 (1992-07-12 - 1992-07-18),31.2,23.1,76.9,1001.8,23,9.7
Week 2221 (1992-07-19 - 1992-07-25),30.8,23.4,80.4,999.5,70.5,10
Week 2222 (1992-07-26 - 1992-08-01),31.1,23.8,79.9,1000.9,39.6,9
Week 2223 (1992-08-02 - 1992-08-08),28.5,22.9,86.6,1004.3,122,11.2
Week 2224 (1992-08-09 - 1992-08-15),30.5,22.4,77.7,1003.4,78.4,16.6
Week 2225 (1992-08-16 - 1992-08-22),30,23,83.9,1000.2,50.8,11.1
Week 2226 (1992-08-23 - 1992-08-29),30.7,23.3,84,1001.2,9.9,10.5
Week 2227 (1992-08-30 - 1992-09-05),30.7,23.1,83.7,1003.1,9.8,9.8
Week 2228 (1992-09-06 - 1992-09-12),26.7,20.4,82.6,1003.3,205.9,15.5
Week 2229 (1992-09-13 - 1992-09-19),28.7,18.6,78,1006.8,1.4,7.9
Week 2230 (1992-09-20 - 1992-09-26),29.5,16.9,73.6,1008.3,0,8
Week 2231 (1992-09-27 - 1992-10-03),29.3,18.5,69.9,1010,0.4,14
Week 2232 (1992-10-04 - 1992-10-10),26.8,15.3,64,1012.7,2.4,13.1
Week 2233 (1992-10-11 - 1992-10-17),28.5,13.8,64.1,1006.7,0.5,9.4
Week 2234 (1992-10-18 - 1992-10-24),24.6,12.2,69.9,1011.8,64.7,11.8
Week 2235 (1992-10-25 - 1992-10-31),24.6,11,69.3,1017,1.3,7.4
Week 2236 (1992-11-01 - 1992-11-07),23.7,9,62.3,1016.8,0,9.4
Week 2237 (1992-11-08 - 1992-11-14),23.4,8.4,69.7,1017.5,0,6.7
Week 2238 (1992-11-15 - 1992-11-21),19.9,10.1,80.3,1016.8,36.2,11.3
Week 2239 (1992-11-22 - 1992-11-28),19.1,5.7,73.1,1018.6,0,7.1
Week 2240 (1992-11-29 - 1992-12-05),18.9,6.2,74.7,1019.9,0.5,9.4
Week 2241 (1992-12-06 - 1992-12-12),17,7,74.4,1020.6,22.7,12.2
Week 2242 (1992-12-13 - 1992-12-19),17.6,4.2,70,1019.2,0,8.5
Week 2243 (1992-12-20 - 1992-12-26),18.4,5.2,69.6,1019,0.2,9
Week 2244 (1992-12-27 - 1993-01-02),16.4,6.5,75.6,1020.5,27.8,9.8
Week 2245 (1993-01-03 - 1993-01-09),12.9,3.9,74.7,1018.8,10.9,9.1
Week 2246 (1993-01-10 - 1993-01-16),11.2,1.2,72,1017.1,23.3,8.7
Week 2247 (1993-01-17 - 1993-01-23),12.7,-0.1,69.4,1019.1,0,9.4
Week 2248 (1993-01-24 - 1993-01-30),16.5,1.1,61.7,1019.4,0,9.4
Week 2249 (1993-01-31 - 1993-02-06),19.7,4.5,61.9,1022.2,0,8.9
Week 2250 (1993-02-07 - 1993-02-13),24,8.6,64.1,1016.4,0.4,12.7
Week 2251 (1993-02-14 - 1993-02-20),17.9,6.8,68.1,1009.5,68,13.2
Week 2252 (1993-02-21 - 1993-02-27),15.3,4.2,72.1,1016.5,28.4,10.2
Week 2253 (1993-02-28 - 1993-03-06),18.8,5.7,68.6,1019.5,8.2,14.5
Week 2254 (1993-03-07 - 1993-03-13),20.8,9.5,73.1,1014.2,79.1,21.6
Week 2255 (1993-03-14 - 1993-03-20),18.5,5.8,66.4,1013.2,9.4,12.6
Week 2256 (1993-03-21 - 1993-03-27),16.7,7.1,73.6,1011.5,136,14.3
Week 2257 (1993-03-28 - 1993-04-03),21.6,5.2,57.3,1016.4,0,10.4
Week 2258 (1993-04-04 - 1993-04-10),25.5,11.1,57.1,1012.5,1.3,15.6
Week 2259 (1993-04-11 - 1993-04-17),24.1,13.3,70.7,1013.1,52.4,11.8
Week 2260 (1993-04-18 - 1993-04-24),30.3,13.9,61.9,1008.4,0,11.8
Week 2261 (1993-04-25 - 1993-05-01),33.7,18.7,52.9,1003.8,0.2,13.9
Week 2262 (1993-05-02 - 1993-05-08),35.2,19.9,41.9,1003.2,1.1,13.7
Week 2263 (1993-05-09 - 1993-05-15),29.9,16.7,50.3,1007.1,16.9,19.7
Week 2264 (1993-05-16 - 1993-05-22),32,18.3,51.9,1005.6,3.5,16.6
Week 2265 (1993-05-23 - 1993-05-29),37.8,21.7,40.4,1000.7,2.5,16.6
Week 2266 (1993-05-30 - 1993-06-05),33.9,20.3,51.4,1001.7,9.8,12.9
Week 2267 (1993-06-06 - 1993-06-12),39.8,21.8,34.1,997.2,0,11.2
Week 2268 (1993-06-13 - 1993-06-19),34.3,23.5,56.3,999.7,14,16.4
Week 2269 (1993-06-20 - 1993-06-26),35.1,24.3,59.3,999,45.9,15.3
Week 2270 (1993-06-27 - 1993-07-03),34.8,23.3,57.3,999.5,5,12.4
Week 2271 (1993-07-04 - 1993-07-10),31.4,24.6,77.1,999.5,125,14
Week 2272 (1993-07-11 - 1993-07-17),31.2,22.9,77.3,998.1,13.5,13
Week 2273 (1993-07-18 - 1993-07-24),29.5,23,81.6,1000.3,72.8,10.5
Week 2274 (1993-07-25 - 1993-07-31),32,21.6,73.3,999.8,5.2,9.8
Week 2275 (1993-08-01 - 1993-08-07),31.8,23.7,80,1001.1,8.4,8.4
Week 2276 (1993-08-08 - 1993-08-14),32.5,23.2,73.3,998.4,4.1,9.8
Week 2277 (1993-08-15 - 1993-08-21),33.4,23.3,65.7,1000.9,1.2,10.1
Week 2278 (1993-08-22 - 1993-08-28),33.4,23.4,67.3,1001,7.8,11.5
Week 2279 (1993-08-29 - 1993-09-04),29.5,22.8,78.9,1003.8,135.3,12.2
Week 2280 (1993-09-05 - 1993-09-11),30,21.8,77.9,1005,11.4,8.7
Week 2281 (1993-09-12 - 1993-09-18),30.6,20.7,71.6,1005.7,1.4,7.9
Week 2282 (1993-09-19 - 1993-09-25),31.7,20.3,66.3,1006.7,3.1,11.5
Week 2283 (1993-09-26 - 1993-10-02),31,18.3,60.4,1006.9,1.6,9.4
Week 2284 (1993-10-03 - 1993-10-09),29.9,17.6,60.9,1010.2,18.3,12.8
Week 2285 (1993-10-10 - 1993-10-16),28.7,13.1,50.3,1013.1,0,10.6
Week 2286 (1993-10-17 - 1993-10-23),27.3,11.6,42.3,1015.3,0,10.8
Week 2287 (1993-10-24 - 1993-10-30),26.8,11,44.4,1015.8,0,8.9
Week 2288 (1993-10-31 - 1993-11-06),24.9,12.5,61.4,1014.9,56.8,10.9
Week 2289 (1993-11-07 - 1993-11-13),21.9,9.5,67,1016.5,27.4,10.8
Week 2290 (1993-11-14 - 1993-11-20),21.8,8.2,71.6,1014.6,2.8,10.1
Week 2291 (1993-11-21 - 1993-11-27),20.4,5.8,65.6,1017.8,0,8.9
Week 2292 (1993-11-28 - 1993-12-04),20.7,7.8,70.7,1016.7,5.3,9.2
Week 2293 (1993-12-05 - 1993-12-11),20.1,6.1,67.9,1017,0,7.9
Week 2294 (1993-12-12 - 1993-12-18),18.3,3.5,66.3,1018.2,0,7.6
Week 2295 (1993-12-19 - 1993-12-25),17.7,2.4,65.9,1020.8,0,8.2
Week 2296 (1993-12-26 - 1994-01-01),18,5.4,64.9,1019.9,6.1,10.4
Week 2297 (1994-01-02 - 1994-01-08),17.3,5.2,67,1019.1,8.1,10.6
Week 2298 (1994-01-09 - 1994-01-15),15.6,4.2,70.3,1016,2.4,9.8
Week 2299 (1994-01-16 - 1994-01-22),13.5,2.2,69.3,1019.7,11.3,11.5
Week 2300 (1994-01-23 - 1994-01-29),17.4,4.1,68,1017.9,13.5,10.5
Week 2301 (1994-01-30 - 1994-02-05),15.6,3.9,65.7,1015.3,59.2,18.5
Week 2302 (1994-02-06 - 1994-02-12),15.3,3.1,66.9,1015.4,4.3,11.1
Week 2303 (1994-02-13 - 1994-02-19),14.7,5,67.1,1018.7,13.3,11.2
Week 2304 (1994-02-20 - 1994-02-26),15.6,5,71.3,1014.2,22.4,12.8
Week 2305 (1994-02-27 - 1994-03-05),19.4,6.3,62.7,1015.8,14.3,13.4
Week 2306 (1994-03-06 - 1994-03-12),22,6.7,60.7,1014.3,0.3,10.9
Week 2307 (1994-03-13 - 1994-03-19),23.6,12.1,67.3,1013.5,32.5,12.6
Week 2308 (1994-03-20 - 1994-03-26),24.2,11.3,68.6,1010.5,15.8,10.2
Week 2309 (1994-03-27 - 1994-04-02),25.9,12.2,63.3,1011.5,7,12.2
Week 2310 (1994-04-03 - 1994-04-09),19.6,9.5,66.4,1011.8,115.5,14.5
Week 2311 (1994-04-10 - 1994-04-16),23.3,11.4,63.7,1015,18.7,14.1
Week 2312 (1994-04-17 - 1994-04-23),25.6,12.6,59.7,1008.6,4.4,11.3
Week 2313 (1994-04-24 - 1994-04-30),29.1,14.8,58.4,1007.6,25.6,23.8
Week 2314 (1994-05-01 - 1994-05-07),31,17.9,59,1006.9,1.9,14.8
Week 2315 (1994-05-08 - 1994-05-14),27.7,16.6,64.3,1008,32.7,16.5
Week 2316 (1994-05-15 - 1994-05-21),34,18.9,53.7,1004.9,0,13.2
Week 2317 (1994-05-22 - 1994-05-28),35.6,20.2,41.6,1002.9,1.6,17.9
Week 2318 (1994-05-29 - 1994-06-04),37.7,21.2,34.7,998.8,1.5,14.8
Week 2319 (1994-06-05 - 1994-06-11),37.6,23,40.4,998.4,7.3,19.3
Week 2320 (1994-06-12 - 1994-06-18),36.1,20.7,40.9,998.5,3,11.3
Week 2321 (1994-06-19 - 1994-06-25),40.2,27.1,41.1,994.7,6.3,15.2
Week 2322 (1994-06-26 - 1994-07-02),32.3,24.9,74.3,997.5,30.8,13.9
Week 2323 (1994-07-03 - 1994-07-09),30.5,24.1,81.6,1000.1,54.3,11.6
Week 2324 (1994-07-10 - 1994-07-16),31.4,24.3,82.3,997.7,22.6,9.8
Week 2325 (1994-07-17 - 1994-07-23),30,24.4,83.7,998.2,35.3,19.4
Week 2326 (1994-07-24 - 1994-07-30),30.1,24.2,84.4,996.4,207.7,12.6
Week 2327 (1994-07-31 - 1994-08-06),30.7,24.5,82.7,999.8,51.8,8.8
Week 2328 (1994-08-07 - 1994-08-13),29.2,23.1,86.1,1001.6,137.3,10.1
Week 2329 (1994-08-14 - 1994-08-20),30.4,23.4,81.6,1001.4,24.4,9
Week 2330 (1994-08-21 - 1994-08-27),29.1,23.6,85.3,1002.2,54.8,10.3
Week 2331 (1994-08-28 - 1994-09-03),30.4,23,84.4,1002.9,11,9.1
Week 2332 (1994-09-04 - 1994-09-10),29.2,21.2,82.9,1005.3,19.8,8.5
Week 2333 (1994-09-11 - 1994-09-17),29.8,20.4,76.9,1005.8,3,14
Week 2334 (1994-09-18 - 1994-09-24),28.2,16.2,63.1,1008.7,1.5,12.8
Week 2335 (1994-09-25 - 1994-10-01),29,13.5,54.3,1011.4,0,10.2
Week 2336 (1994-10-02 - 1994-10-08),28.4,15.1,56.9,1010.8,1,9.1
Week 2337 (1994-10-09 - 1994-10-15),25.9,13,56.1,1012.6,5,11.8
Week 2338 (1994-10-16 - 1994-10-22),27.3,11.3,53.6,1015.7,0,10.7
Week 2339 (1994-10-23 - 1994-10-29),23.3,12.1,67,1015.7,52.8,10.1
Week 2340 (1994-10-30 - 1994-11-05),23.3,9,64.4,1019.5,0,8.7
Week 2341 (1994-11-06 - 1994-11-12),23.4,9.4,68.3,1018.4,0.3,8.5
Week 2342 (1994-11-13 - 1994-11-19),22.1,7.4,63.7,1018.3,0,8.9
Week 2343 (1994-11-20 - 1994-11-26),21.6,7,66,1018.4,0,8
Week 2344 (1994-11-27 - 1994-12-03),21.1,6.8,69.9,1014.8,0,9
Week 2345 (1994-12-04 - 1994-12-10),16.9,7.6,79.1,1017.3,54.4,15.3
Week 2346 (1994-12-11 - 1994-12-17),16,2,65.9,1018.9,0,9.8
Week 2347 (1994-12-18 - 1994-12-24),15.6,3.5,73.6,1022.8,9.9,8.4
Week 2348 (1994-12-25 - 1994-12-31),13.1,3.3,77.6,1020.4,34.2,11
Week 2349 (1995-01-01 - 1995-01-07),14.7,1,61.9,1020,0.6,9.7
Week 2350 (1995-01-08 - 1995-01-14),13.1,1.6,68.9,1019,3.2,9
Week 2351 (1995-01-15 - 1995-01-21),12.5,0.7,71.6,1021.6,1.1,8.8
Week 2352 (1995-01-22 - 1995-01-28),15.1,0.6,61.7,1020.3,0,8.9
Week 2353 (1995-01-29 - 1995-02-04),17.7,2.6,64.4,1019.4,0,10
Week 2354 (1995-02-05 - 1995-02-11),18.5,6.4,66.9,1016.8,56.2,10.4
Week 2355 (1995-02-12 - 1995-02-18),15.6,6.9,78.3,1013.5,34.2,9.5
Week 2356 (1995-02-19 - 1995-02-25),15,1.9,63.7,1015.7,0,10.1
Week 2357 (1995-02-26 - 1995-03-04),16,3.3,66.3,1016.4,39.6,12.1
Week 2358 (1995-03-05 - 1995-03-11),18,4.6,64.9,1017.3,5.9,12.2
Week 2359 (1995-03-12 - 1995-03-18),21.2,7,58.4,1017,0.9,12.7
Week 2360 (1995-03-19 - 1995-03-25),21.7,13.2,73.4,1014,101.5,13.3
